"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","09:35","02.6","046","03.8","10.8","N/A","1024.6","2.00","0.55","0.67","0.82","19.70"
"04/04/2017","09:40","02.2","057","03.1","10.8","N/A","1024.7","1.95","0.81","0.89","0.82","19.70"
"04/04/2017","09:45","02.1","065","02.6","10.9","N/A","1024.7","1.91","0.76","0.92","0.78","19.70"
"04/04/2017","09:50","02.3","061","02.8","11.0","N/A","1024.7","1.85","0.63","0.75","0.78","19.70"
"04/04/2017","09:55","02.4","058","02.8","11.1","N/A","1024.9","1.82","0.71","0.85","0.78","19.70"
"04/04/2017","10:00","02.9","074","03.5","11.2","N/A","1024.9","1.77","0.74","0.77","0.73","19.70"
"04/04/2017","10:05","02.9","096","03.5","11.3","N/A","1024.9","1.71","0.72","0.83","0.73","19.70"
"04/04/2017","10:10","01.9","110","02.7","11.4","N/A","1024.7","1.70","0.83","0.90","0.73","19.70"
"04/04/2017","10:15","01.7","121","02.1","11.4","N/A","1024.7","1.64","0.80","0.84","0.87","17.07"
"04/04/2017","10:20","01.9","113","02.4","11.3","N/A","1024.9","1.62","0.80","0.87","0.87","17.07"
"04/04/2017","10:25","02.3","118","02.8","11.3","N/A","1024.6","1.56","0.75","0.85","0.87","17.07"
"04/04/2017","10:30","03.3","128","03.7","11.1","N/A","1024.7","1.56","0.71","0.79","0.78","19.70"
"04/04/2017","10:35","03.4","122","03.8","11.1","N/A","1024.7","1.52","0.63","0.74","0.78","19.70"
"04/04/2017","10:40","03.8","118","04.5","11.1","N/A","1024.7","1.50","0.76","0.81","0.78","19.70"
"04/04/2017","10:45","03.3","119","04.1","11.2","N/A","1024.9","1.49","0.71","0.82","0.74","17.07"
"04/04/2017","10:50","02.5","121","03.1","11.3","N/A","1024.9","1.46","0.69","0.78","0.74","17.07"
"04/04/2017","10:55","03.3","133","03.9","11.1","N/A","1025.1","1.48","0.55","0.68","0.74","17.07"
"04/04/2017","11:00","03.8","138","04.1","11.1","N/A","1025.0","1.43","0.62","0.65","0.58","17.07"
"04/04/2017","11:05","04.1","145","04.4","11.1","N/A","1025.0","1.44","0.59","0.67","0.58","17.07"
"04/04/2017","11:10","04.4","150","05.0","11.1","N/A","1025.2","1.42","0.75","0.77","0.58","17.07"
"04/04/2017","11:15","04.3","151","04.8","11.1","N/A","1025.0","1.43","0.55","0.58","0.65","15.06"
"04/04/2017","11:20","04.4","140","04.8","11.1","N/A","1025.2","1.42","0.63","0.68","0.65","15.06"
"04/04/2017","11:25","04.0","144","04.3","11.2","N/A","1025.3","1.42","0.67","0.73","0.65","15.06"
"04/04/2017","11:30","03.9","137","04.6","11.2","N/A","1025.3","1.45","0.67","0.76","0.67","15.06"
"04/04/2017","11:35","04.2","137","04.9","11.3","N/A","1025.5","1.46","0.62","0.70","0.67","15.06"
"04/04/2017","11:40","03.0","144","03.5","11.3","N/A","1025.5","1.46","0.60","0.68","0.67","15.06"
"04/04/2017","11:45","02.8","168","03.3","11.3","N/A","1025.5","1.48","0.55","0.61","0.60","15.06"
"04/04/2017","11:50","03.0","181","03.3","11.3","N/A","1025.5","1.50","0.56","0.64","0.60","15.06"
"04/04/2017","11:55","03.2","205","03.5","11.2","N/A","1025.6","1.52","0.58","0.65","0.60","15.06"
"04/04/2017","12:00","03.4","229","03.8","11.2","N/A","1025.6","1.54","0.60","0.64","0.61","17.07"
"04/04/2017","12:05","03.3","229","04.0","11.2","N/A","1025.8","1.54","0.72","0.78","0.61","17.07"
"04/04/2017","12:10","05.1","265","06.3","11.2","N/A","1025.7","1.59","0.58","0.60","0.61","17.07"
"04/04/2017","12:15","04.3","244","04.9","11.1","N/A","1025.9","1.58","0.63","0.69","0.67","17.07"
"04/04/2017","12:20","04.2","239","05.2","11.1","N/A","1025.7","1.62","0.57","0.62","0.67","17.07"
"04/04/2017","12:25","04.6","251","05.2","11.1","N/A","1025.7","1.68","0.56","0.59","0.67","17.07"
"04/04/2017","12:30","03.5","244","04.9","11.1","N/A","1026.0","1.63","0.70","0.78","0.64","17.07"
"04/04/2017","12:35","05.1","245","05.9","11.1","N/A","1025.9","1.70","0.64","0.69","0.64","17.07"
"04/04/2017","12:40","04.4","260","06.3","11.3","N/A","1026.1","1.67","0.70","0.75","0.64","17.07"
"04/04/2017","12:45","03.2","239","05.6","11.3","N/A","1025.9","1.74","0.67","0.78","0.69","17.07"
"04/04/2017","12:50","02.2","299","04.7","11.6","N/A","1026.1","1.72","0.54","0.67","0.69","17.07"
"04/04/2017","12:55","05.6","231","06.5","11.2","N/A","1026.1","1.77","0.71","0.76","0.69","17.07"
"04/04/2017","13:00","05.3","225","06.1","11.2","N/A","1025.8","1.75","0.67","0.74","0.71","17.07"
"04/04/2017","13:05","04.0","219","05.8","11.3","N/A","1026.1","1.83","0.64","0.65","0.71","17.07"
"04/04/2017","13:10","04.5","231","06.5","11.4","N/A","1025.8","1.88","0.70","0.79","0.71","17.07"
"04/04/2017","13:15","02.5","253","04.8","11.7","N/A","1025.9","1.84","0.68","0.77","0.69","15.06"
"04/04/2017","13:20","02.4","331","04.3","11.8","N/A","1025.9","1.89","0.51","0.56","0.69","15.06"
"04/04/2017","13:25","03.0","269","04.8","12.0","N/A","1025.9","1.89","0.69","0.79","0.69","15.06"
"04/04/2017","13:30","01.9","264","02.7","12.2","N/A","1025.9","1.92","0.76","0.85","0.71","15.06"
"04/04/2017","13:35","02.8","350","06.4","12.3","N/A","1025.8","1.97","0.58","0.62","0.71","15.06"
"04/04/2017","13:40","06.8","023","07.7","12.8","N/A","1025.8","1.97","0.65","0.75","0.71","15.06"
"04/04/2017","13:45","09.1","024","10.5","12.9","N/A","1025.8","1.97","0.67","0.76","0.65","15.06"
"04/04/2017","13:50","07.3","023","09.9","13.1","N/A","1025.9","2.04","0.66","0.74","0.65","15.06"
"04/04/2017","13:55","05.7","028","06.3","13.1","N/A","1025.8","2.05","0.58","0.68","0.65","15.06"
"04/04/2017","14:00","05.7","037","07.0","13.1","N/A","1025.8","2.08","0.69","0.69","0.67","15.06"
"04/04/2017","14:05","04.8","031","05.9","13.2","N/A","1025.8","2.13","0.56","0.58","0.67","15.06"
